label,statement,named_entities,tagged_statement
1,This is not the first time (the Russians) have been involved in our elections.,"[('first', 'ORDINAL'), ('Russians', 'NORP')]",This is not the [ORDINAL]first[/ORDINAL] time (the [NORP]Russians[/NORP]) have been involved in our elections.
0,"Dave McCormick is ""liberal, pro-Biden, pro-China.","[('Dave McCormick', 'PERSON'), ('pro-Biden', 'PERSON'), ('pro-China', 'GPE')]","[PERSON]Dave McCormick[/PERSON] is ""liberal, [PERSON]pro-Biden[/PERSON], [GPE]pro-China[/GPE]."
0,"President Donald Trump signed DEPLOYMENT ORDERS for the 82nd Airborne Division of the United States Army, instructing them to deploy from Ft. Bragg, NC, to the U.S. southern border at Mexico.","[('Donald Trump', 'PERSON'), ('the 82nd Airborne Division of the United States Army', 'ORG'), ('Ft. Bragg', 'GPE'), ('NC', 'GPE'), ('U.S.', 'GPE'), ('Mexico', 'GPE')]","President [PERSON]Donald Trump[/PERSON] signed DEPLOYMENT ORDERS for [ORG]the 82nd Airborne Division of the United States Army[/ORG], instructing them to deploy from [GPE]Ft. Bragg[/GPE], [GPE]NC[/GPE], to the [GPE]U.S.[/GPE] southern border at [GPE]Mexico[/GPE]."
0,Rosalyn Dance voted against President Obama's Medicaid expansion.,"[('Rosalyn Dance', 'PERSON'), ('Obama', 'PERSON'), ('Medicaid', 'ORG')]",[PERSON]Rosalyn Dance[/PERSON] voted against President [PERSON]Obama[/PERSON]'s [ORG]Medicaid[/ORG] expansion.
1,"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy.","[('Hillary Clinton', 'PERSON'), ('Tom Brokaw', 'PERSON'), (""Ronald Reagan's"", 'PERSON')]","But it was [PERSON]Hillary Clinton[/PERSON], in an interview with [PERSON]Tom Brokaw[/PERSON], who quote 'paid tribute' to [PERSON]Ronald Reagan's[/PERSON] economic and foreign policy."
1,The New York state budget covers 96% of eligible preschoolers,"[('New York', 'GPE'), ('96%', 'PERCENT')]",The [GPE]New York[/GPE] state budget covers [PERCENT]96%[/PERCENT] of eligible preschoolers
1,"Says Debbie Mucarsel-Powell's family received $700,000 from the firm of ""violent warlord Ihor Kolomoisky,"" who is compared to Fidel Castro and Nicolás Maduro.","[('Debbie Mucarsel-Powell', 'PERSON'), ('700,000', 'MONEY'), ('Ihor Kolomoisky', 'PERSON'), ('Fidel Castro', 'PERSON'), ('Nicolás Maduro', 'PERSON')]","Says [PERSON]Debbie Mucarsel-Powell[/PERSON]'s family received $[MONEY]700,000[/MONEY] from the firm of ""violent warlord [PERSON]Ihor Kolomoisky[/PERSON],"" who is compared to [PERSON]Fidel Castro[/PERSON] and [PERSON]Nicolás Maduro[/PERSON]."
0,We spend more money on antacids than we do on politics.,[],We spend more money on antacids than we do on politics.
0,"Says Milwaukee County Executive Chris Abele spent ""$100,000 of taxpayer money on a new luxury SUV.","[('Milwaukee', 'GPE'), ('Chris Abele', 'PERSON'), ('100,000', 'MONEY')]","Says [GPE]Milwaukee[/GPE] County Executive [PERSON]Chris Abele[/PERSON] spent ""$[MONEY]100,000[/MONEY] of taxpayer money on a new luxury SUV."
0,"Under the mayor's COVID-19 order, Kansas City ""churchgoers must register with the government.","[('COVID-19', 'ORG'), ('Kansas City', 'GPE')]","Under the mayor's [ORG]COVID-19[/ORG] order, [GPE]Kansas City[/GPE] ""churchgoers must register with the government."
0,"Human trafficking and drugs"" at the Mexico border have ""doubled, tripled and quadrupled"" since Joe Biden became president.","[('Mexico', 'GPE'), ('Joe Biden', 'PERSON')]","Human trafficking and drugs"" at the [GPE]Mexico[/GPE] border have ""doubled, tripled and quadrupled"" since [PERSON]Joe Biden[/PERSON] became president."
1,"An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces.","[('Americans', 'NORP'), ('the DREAM Act', 'LAW')]","An overwhelming majority of [NORP]Americans[/NORP] support passage of [LAW]the DREAM Act[/LAW], which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces."
1,"Limberbutt McCubbins (a five-year-old cat) is a candidate"" in the 2016 presidential election.","[('Limberbutt McCubbins', 'PERSON'), ('five-year-old', 'DATE'), ('2016', 'DATE')]","[PERSON]Limberbutt McCubbins[/PERSON] (a [DATE]five-year-old[/DATE] cat) is a candidate"" in the [DATE]2016[/DATE] presidential election."
0,"Says ABC 7 reported the Santa Clarita high school shooting ""3 weeks in advance.","[('ABC 7', 'ORG'), ('Santa Clarita', 'GPE'), ('3 weeks', 'DATE')]","Says [ORG]ABC 7[/ORG] reported the [GPE]Santa Clarita[/GPE] high school shooting ""[DATE]3 weeks[/DATE] in advance."
1,"Says ""every school will be negatively impacted"" if Education Stability Fund is not tapped.","[('Education Stability Fund', 'ORG')]","Says ""every school will be negatively impacted"" if [ORG]Education Stability Fund[/ORG] is not tapped."
0,"Dan Seals has been running for office ""since before there were, like, iPods.","[('Dan Seals', 'PERSON'), ('iPods', 'PRODUCT')]","[PERSON]Dan Seals[/PERSON] has been running for office ""since before there were, like, [PRODUCT]iPods[/PRODUCT]."
1,"Says ""our deficits are falling at the fastest rate in 60 years.","[('60 years', 'DATE')]","Says ""our deficits are falling at the fastest rate in [DATE]60 years[/DATE]."
0,The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.,"[('CDC', 'ORG')]",The [ORG]CDC[/ORG] can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.
0,"Says U.S. Rep. Patrick Murphy has ""sided with the GOP on key votes twice as often as he sided with Democrats.","[('U.S.', 'GPE'), ('Patrick Murphy', 'PERSON'), ('GOP', 'ORG'), ('Democrats', 'NORP')]","Says [GPE]U.S.[/GPE] Rep. [PERSON]Patrick Murphy[/PERSON] has ""sided with the [ORG]GOP[/ORG] on key votes twice as often as he sided with [NORP]Democrats[/NORP]."
1,"A Republican bill in Michigan ""would make it a crime for election officials … to share information about how to vote by mail and where to find a ballot drop box.","[('Republican', 'NORP'), ('Michigan', 'GPE')]","A [NORP]Republican[/NORP] bill in [GPE]Michigan[/GPE] ""would make it a crime for election officials … to share information about how to vote by mail and where to find a ballot drop box."
0,"Says NASA spent more than $165 million over 10 years to develop a pen that ""writes in zero gravity, upside down"" and in extreme temperatures while the ""Russians used a pencil instead.","[('NASA', 'ORG'), ('more than $165 million', 'MONEY'), ('10 years', 'DATE'), ('zero', 'CARDINAL'), ('Russians', 'NORP')]","Says [ORG]NASA[/ORG] spent [MONEY]more than $165 million[/MONEY] over [DATE]10 years[/DATE] to develop a pen that ""writes in [CARDINAL]zero[/CARDINAL] gravity, upside down"" and in extreme temperatures while the ""[NORP]Russians[/NORP] used a pencil instead."
1,"Says Obama ""called Kagan a moderate. He called Sotomayor a moderate.","[('Obama', 'PERSON'), ('Kagan', 'PERSON'), ('Sotomayor', 'PERSON')]","Says [PERSON]Obama[/PERSON] ""called [PERSON]Kagan[/PERSON] a moderate. He called [PERSON]Sotomayor[/PERSON] a moderate."
0,"Says a photo shows the ""SAME EXACT PEOPLE"" at ""two different beaches"" in Los Angeles County and Jacksonville, Fla.","[('SAME EXACT PEOPLE', 'WORK_OF_ART'), ('two', 'CARDINAL'), ('Los Angeles County', 'GPE'), ('Jacksonville', 'GPE'), ('Fla.', 'GPE')]","Says a photo shows the ""[WORK_OF_ART]SAME EXACT PEOPLE[/WORK_OF_ART]"" at ""[CARDINAL]two[/CARDINAL] different beaches"" in [GPE]Los Angeles County[/GPE] and [GPE]Jacksonville[/GPE], [GPE]Fla.[/GPE]"
0,Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.,"[('Floridian', 'NORP'), ('one', 'CARDINAL')]",Any [NORP]Floridian[/NORP] who has ever requested an absentee ballot henceforth gets [CARDINAL]one[/CARDINAL] automatically.
0,"Says Republican leaders ""are working hard to cover up election corruption in Wisconsin.","[('Republican', 'NORP'), ('Wisconsin', 'GPE')]","Says [NORP]Republican[/NORP] leaders ""are working hard to cover up election corruption in [GPE]Wisconsin[/GPE]."
0,"Says Donald Trump wrote in his book, ""Being an atheist gives me an edge in every deal. Christians are too moral for business.","[('Donald Trump', 'PERSON'), ('Christians', 'NORP')]","Says [PERSON]Donald Trump[/PERSON] wrote in his book, ""Being an atheist gives me an edge in every deal. [NORP]Christians[/NORP] are too moral for business."
0,"Displaying the progress pride flag between two American flags during a White House pride event was ""in breach of US Flag Code.","[('two', 'CARDINAL'), ('American', 'NORP'), ('White House', 'ORG'), ('US Flag Code', 'EVENT')]","Displaying the progress pride flag between [CARDINAL]two[/CARDINAL] [NORP]American[/NORP] flags during a [ORG]White House[/ORG] pride event was ""in breach of [EVENT]US Flag Code[/EVENT]."
0,Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.,"[('Third', 'ORDINAL'), ('USA', 'GPE')]",[ORDINAL]Third[/ORDINAL] grade reading scores in the [GPE]USA[/GPE] help correctional institutions predict how many beds they'll need in the future.
0,"Joe Biden's open border"" means that there are ""more Democrat voters pouring into this country.","[(""Joe Biden's"", 'PERSON'), ('Democrat', 'NORP')]","[PERSON]Joe Biden's[/PERSON] open border"" means that there are ""more [NORP]Democrat[/NORP] voters pouring into this country."
0,ObamaCare enrollment lie: Obama counts an enrollee as a web user putting a plan in 'their online shopping carts.',"[('ObamaCare', 'ORG'), ('Obama', 'PERSON')]",[ORG]ObamaCare[/ORG] enrollment lie: [PERSON]Obama[/PERSON] counts an enrollee as a web user putting a plan in 'their online shopping carts.'
0,"In ""reality,"" there have ""been no problems whatsoever"" with the Texas voter ID law.","[('Texas', 'GPE')]","In ""reality,"" there have ""been no problems whatsoever"" with the [GPE]Texas[/GPE] voter ID law."
0,"Says Marjorie Taylor Greene tweeted: ""People can't really be convicted on such flimsy circumstantial evidence as 'having a similar gait' or 'owning the identical shoes' or 'being in DC and not having any alibi for that time' can they?! I don't recognize this America.","[('Marjorie Taylor Greene', 'PERSON'), ('DC', 'GPE'), ('America', 'GPE')]","Says [PERSON]Marjorie Taylor Greene[/PERSON] tweeted: ""People can't really be convicted on such flimsy circumstantial evidence as 'having a similar gait' or 'owning the identical shoes' or 'being in [GPE]DC[/GPE] and not having any alibi for that time' can they?! I don't recognize this [GPE]America[/GPE]."
1,"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people.","[('Massachusetts', 'GPE'), ('Mitt Romney', 'PERSON')]","Says that as [GPE]Massachusetts[/GPE] governor, [PERSON]Mitt Romney[/PERSON] ""condemned coal-fired plants, saying they kill people."
0,"Sen. Mark Kelly ""voted to legalize abortion up until the moment of birth.","[('Mark Kelly', 'PERSON')]","Sen. [PERSON]Mark Kelly[/PERSON] ""voted to legalize abortion up until the moment of birth."
1,Exit polls indicate that Democrats get over 70 percent of LGBT votes in federal elections.,"[('Exit', 'ORG'), ('Democrats', 'NORP'), ('over 70 percent', 'PERCENT'), ('LGBT', 'ORG')]",[ORG]Exit[/ORG] polls indicate that [NORP]Democrats[/NORP] get [PERCENT]over 70 percent[/PERCENT] of [ORG]LGBT[/ORG] votes in federal elections.
0,Says the lines on the signature Solo cup are actually markings to designate various measurements.,"[('Solo', 'PRODUCT')]",Says the lines on the signature [PRODUCT]Solo[/PRODUCT] cup are actually markings to designate various measurements.
0,(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.,"[('Barack Obama', 'PERSON'), ('over 8 percent', 'PERCENT')]",(President [PERSON]Barack Obama[/PERSON]) said unemployment was never gonna go [PERCENT]over 8 percent[/PERCENT] if we passed the stimulus plan.
1,"Under Philip Levine, Miami Beach ""passed a resolution to ban assault rifles, which was not enforceable and never enforced. He passed a resolution to raise the minimum wage, which actually no one got the benefit of because it was not enforced.","[('Philip Levine', 'PERSON'), ('Miami Beach', 'GPE')]","Under [PERSON]Philip Levine[/PERSON], [GPE]Miami Beach[/GPE] ""passed a resolution to ban assault rifles, which was not enforceable and never enforced. He passed a resolution to raise the minimum wage, which actually no one got the benefit of because it was not enforced."
0,"Says Gov. Scott Walker has ""led people to believe that if Wisconsin doesn't implement a (health-care) exchange, Obamacare doesn't happen here.","[('Scott Walker', 'PERSON'), ('Wisconsin', 'GPE'), ('Obamacare', 'ORG')]","Says Gov. [PERSON]Scott Walker[/PERSON] has ""led people to believe that if [GPE]Wisconsin[/GPE] doesn't implement a (health-care) exchange, [ORG]Obamacare[/ORG] doesn't happen here."
0,"In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class.",[],"In almost every state with an income tax, wealthy people pay a higher tax rate than the middle class."
1,"This year, the federal government will have more revenue than any year in the history of our country.","[('This year', 'DATE')]","[DATE]This year[/DATE], the federal government will have more revenue than any year in the history of our country."
0,"Pathogens evolve to become less, not more, virulent over time"" because otherwise, ""they'd destroy their hosts which they depend on to live.",[],"Pathogens evolve to become less, not more, virulent over time"" because otherwise, ""they'd destroy their hosts which they depend on to live."
0,"In Ohio, ""there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.","[('Ohio', 'GPE'), ('75,000 acres', 'QUANTITY')]","In [GPE]Ohio[/GPE], ""there are [QUANTITY]75,000 acres[/QUANTITY] of farmland, fertile farmland, that are all now being poured down with acid rain."
0,"A CNN chyron said, ""Antifa has just taken responsibility for storming Capital Hill.","[('CNN', 'ORG'), ('Antifa', 'PERSON'), ('Capital Hill', 'ORG')]","A [ORG]CNN[/ORG] chyron said, ""[PERSON]Antifa[/PERSON] has just taken responsibility for storming [ORG]Capital Hill[/ORG]."
0,"Vladimir Putin ""ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.","[('Vladimir Putin', 'PERSON'), ('Rothschild', 'PERSON'), ('Russia', 'GPE'), ('Russian', 'NORP')]","[PERSON]Vladimir Putin[/PERSON] ""ended the [PERSON]Rothschild[/PERSON]'s control over [GPE]Russia[/GPE] by nationalizing the [NORP]Russian[/NORP] centralized bank."
1,More preschoolers are shot dead each year than police officers are in the line of duty.,"[('each year', 'DATE')]",More preschoolers are shot dead [DATE]each year[/DATE] than police officers are in the line of duty.
0,"Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.","[('Donald Trump', 'PERSON'), ('Hillary Clinton', 'PERSON'), ('Bernie Sanders', 'PERSON')]","[PERSON]Donald Trump[/PERSON] and [PERSON]Hillary Clinton[/PERSON] and [PERSON]Bernie Sanders[/PERSON] have the identical position on health care, which is they want to put the government in charge of you and your doctor."
0,Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,"[('Barack Obama', 'PERSON'), ('Democrats', 'NORP')]",Says [PERSON]Barack Obama[/PERSON] complained that [NORP]Democrats[/NORP] continue to ignore blacks except at election time.
0,"Human activity is not ""causing these dramatic changes to our climate.",[],"Human activity is not ""causing these dramatic changes to our climate."
1,"90% of Americans, regardless of political party, want universal background checks.","[('90%', 'PERCENT'), ('Americans', 'NORP')]","[PERCENT]90%[/PERCENT] of [NORP]Americans[/NORP], regardless of political party, want universal background checks."
1,Says Jeff Stone = Scott Walker.,"[('Jeff Stone', 'PERSON'), ('Scott Walker', 'PERSON')]",Says [PERSON]Jeff Stone[/PERSON] = [PERSON]Scott Walker[/PERSON].
1,Surveys of teens in high school reveal that knowing a classmate who sells cannabis is 90 times more common than knowing a classmate who sells alcohol.,"[('90', 'CARDINAL')]",Surveys of teens in high school reveal that knowing a classmate who sells cannabis is [CARDINAL]90[/CARDINAL] times more common than knowing a classmate who sells alcohol.
0,"Says the diversity visa lottery program is ""a Chuck Schumer beauty.","[('Chuck Schumer', 'PERSON')]","Says the diversity visa lottery program is ""a [PERSON]Chuck Schumer[/PERSON] beauty."
1,"If the sequester hits, ""hundreds of thousands of Americans will lose access to primary care and preventive care like flu vaccinations and cancer screenings.","[('hundreds of thousands', 'CARDINAL'), ('Americans', 'NORP')]","If the sequester hits, ""[CARDINAL]hundreds of thousands[/CARDINAL] of [NORP]Americans[/NORP] will lose access to primary care and preventive care like flu vaccinations and cancer screenings."
0,"Says Jeb Bush tweeted ""Ok boomer"" at Donald Trump.","[('Jeb Bush', 'PERSON'), ('Donald Trump', 'PERSON')]","Says [PERSON]Jeb Bush[/PERSON] tweeted ""Ok boomer"" at [PERSON]Donald Trump[/PERSON]."
0,"Food waste is the 3rd largest contributor"" of greenhouse gas emissions.","[('3rd', 'ORDINAL')]","Food waste is the [ORDINAL]3rd[/ORDINAL] largest contributor"" of greenhouse gas emissions."
1,Tommy Thompson made millions from corporations who outsource American jobs and now he's trying to lavish huge tax breaks on them.,"[('Tommy Thompson', 'PERSON'), ('millions', 'CARDINAL'), ('American', 'NORP')]",[PERSON]Tommy Thompson[/PERSON] made [CARDINAL]millions[/CARDINAL] from corporations who outsource [NORP]American[/NORP] jobs and now he's trying to lavish huge tax breaks on them.
1,Six of Georgia's counties have no lawyers at all.,"[('Six', 'CARDINAL'), ('Georgia', 'GPE')]",[CARDINAL]Six[/CARDINAL] of [GPE]Georgia[/GPE]'s counties have no lawyers at all.
1,Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.,"[('Almost 10 percent', 'PERCENT'), ('Canadians', 'NORP'), ('Florida', 'GPE'), ('last year', 'DATE'), ('Canadians', 'NORP'), ('7.4 percent', 'PERCENT')]",[PERCENT]Almost 10 percent[/PERCENT] of [NORP]Canadians[/NORP] came to visit [GPE]Florida[/GPE] [DATE]last year[/DATE] ... ([NORP]Canadians[/NORP]) buy [PERCENT]7.4 percent[/PERCENT] of our homes in the state.
0,The Rock has lost 48 million followers on his IG and YouTube after coming out for Biden.,"[('48 million', 'CARDINAL'), ('IG', 'ORG'), ('YouTube', 'ORG'), ('Biden', 'GPE')]",The Rock has lost [CARDINAL]48 million[/CARDINAL] followers on his [ORG]IG[/ORG] and [ORG]YouTube[/ORG] after coming out for [GPE]Biden[/GPE].
1,Gov. Palin ... is somebody who actually doesn't believe that climate change is man-made.,"[('Palin', 'PERSON')]",Gov. [PERSON]Palin[/PERSON] ... is somebody who actually doesn't believe that climate change is man-made.
0,"Says Mayor Muriel Bowser ""ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close Jan. 4, 5 and 6 to discourage Trump supporters from gathering in D.C.","[('Muriel Bowser', 'PERSON'), ('Jan. 4', 'DATE'), ('5', 'DATE'), ('6', 'CARDINAL'), ('Trump', 'PERSON'), ('D.C.', 'GPE')]","Says Mayor [PERSON]Muriel Bowser[/PERSON] ""ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close [DATE]Jan. 4[/DATE], [DATE]5[/DATE] and [CARDINAL]6[/CARDINAL] to discourage [PERSON]Trump[/PERSON] supporters from gathering in [GPE]D.C.[/GPE]"
1,"As a sitting Supreme Court justice, Daniel Kelly recused himself from a case, then ""he pocketed $20,000 in contributions"" from the plaintiff and family members and ""unrecused himself so he could judge the case.","[('Supreme Court', 'ORG'), ('Daniel Kelly', 'PERSON'), ('20,000', 'MONEY')]","As a sitting [ORG]Supreme Court[/ORG] justice, [PERSON]Daniel Kelly[/PERSON] recused himself from a case, then ""he pocketed $[MONEY]20,000[/MONEY] in contributions"" from the plaintiff and family members and ""unrecused himself so he could judge the case."
1,Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.,"[('Obama', 'PERSON')]",Sen. [PERSON]Obama[/PERSON] worked on some of the deepest issues we had and was successful in a bipartisan way.
0,"$100B contact tracing bill ""is about controlling/tracking population, not about coronavirus.","[('100B', 'MONEY')]","$[MONEY]100B[/MONEY] contact tracing bill ""is about controlling/tracking population, not about coronavirus."
1,"Historically,"" Senate ratification of arms control treaties ""has been bipartisan.","[('Senate', 'ORG')]","Historically,"" [ORG]Senate[/ORG] ratification of arms control treaties ""has been bipartisan."
1,"Says he was known as ""Veto Corleone"" for cutting spending as Florida governor.","[('Veto Corleone', 'WORK_OF_ART'), ('Florida', 'GPE')]","Says he was known as ""[WORK_OF_ART]Veto Corleone[/WORK_OF_ART]"" for cutting spending as [GPE]Florida[/GPE] governor."
1,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.,"[('Texas', 'GPE'), ('more than $10 billion', 'MONEY'), ('Texas', 'GPE'), ('a decade ago', 'DATE')]",[GPE]Texas[/GPE] families have kept [MONEY]more than $10 billion[/MONEY] in their family budgets since we successfully fought to restore [GPE]Texas[/GPE]' sales tax deduction [DATE]a decade ago[/DATE].
0,"According to a recent CDC report, ""almost everyone — 85% — who got the coronavirus in July was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn't work the way they tell us it works.","[('CDC', 'ORG'), ('85%', 'PERCENT'), ('July', 'DATE')]","According to a recent [ORG]CDC[/ORG] report, ""almost everyone — [PERCENT]85%[/PERCENT] — who got the coronavirus in [DATE]July[/DATE] was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn't work the way they tell us it works."
0,Says the late Lady Bird Johnson sicced the CIA on actress and singer Eartha Kitt after Kitt spoke out against the Vietnam War during a White House luncheon in January 1968.,"[('Lady Bird Johnson', 'PERSON'), ('CIA', 'ORG'), ('Eartha Kitt', 'PERSON'), ('Kitt', 'PERSON'), ('the Vietnam War', 'EVENT'), ('White House', 'ORG'), ('January 1968', 'DATE')]",Says the late [PERSON]Lady Bird Johnson[/PERSON] sicced the [ORG]CIA[/ORG] on actress and singer [PERSON]Eartha Kitt[/PERSON] after [PERSON]Kitt[/PERSON] spoke out against [EVENT]the Vietnam War[/EVENT] during a [ORG]White House[/ORG] luncheon in [DATE]January 1968[/DATE].
1,Senator McCain voted against the Bush tax cuts. Now he's for them.,"[('McCain', 'PERSON'), ('Bush', 'PERSON')]",Senator [PERSON]McCain[/PERSON] voted against the [PERSON]Bush[/PERSON] tax cuts. Now he's for them.
0,"Steve Poizner ""increased his department's budget nearly 14 percent.","[('Steve Poizner', 'PERSON'), ('nearly 14 percent', 'PERCENT')]","[PERSON]Steve Poizner[/PERSON] ""increased his department's budget [PERCENT]nearly 14 percent[/PERCENT]."
0,"Says he ""voted to remove Common Core from our schools.","[('Common Core', 'PERSON')]","Says he ""voted to remove [PERSON]Common Core[/PERSON] from our schools."
1,You had more women getting computer sciences degrees in the '80s by a factor of 2-plus than you do now.,"[(""the '80s"", 'DATE'), ('2-plus', 'CARDINAL')]",You had more women getting computer sciences degrees in [DATE]the '80s[/DATE] by a factor of [CARDINAL]2-plus[/CARDINAL] than you do now.
0,"When President Donald Trump walked across Lafayette Square to a church, he held the Bible upside down.","[('Donald Trump', 'PERSON'), ('Lafayette Square', 'FAC'), ('Bible', 'WORK_OF_ART')]","When President [PERSON]Donald Trump[/PERSON] walked across [FAC]Lafayette Square[/FAC] to a church, he held the [WORK_OF_ART]Bible[/WORK_OF_ART] upside down."
0,"President Donald ""Trump's latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.","[('Donald ""Trump', 'PERSON'), ('North Korea', 'GPE'), ('one', 'CARDINAL'), ('North Korea', 'GPE'), ('one', 'CARDINAL'), ('Trump', 'ORG'), ('Russia', 'GPE')]","President [PERSON]Donald ""Trump[/PERSON]'s latest set of sanctions against companies and countries benefiting [GPE]North Korea[/GPE] includes every nation but [CARDINAL]one[/CARDINAL] making shipments to ([GPE]North Korea[/GPE]). The [CARDINAL]one[/CARDINAL] nation [ORG]Trump[/ORG] exempted from his punitive ban was . . . wait for it . . . drumroll: [GPE]Russia[/GPE]."
0,Hundreds of thousands of (illegal immigrants are) going to state and federal penitentiaries.,"[('Hundreds of thousands', 'CARDINAL')]",[CARDINAL]Hundreds of thousands[/CARDINAL] of (illegal immigrants are) going to state and federal penitentiaries.
0,Medicaid patients were 97 percent more likely to die than those with private insurance.,"[('Medicaid', 'ORG'), ('97 percent', 'PERCENT')]",[ORG]Medicaid[/ORG] patients were [PERCENT]97 percent[/PERCENT] more likely to die than those with private insurance.
0,"Says Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers, but then he ""voted to eliminate it.","[('Ron Johnson', 'PERSON'), ('U.S.', 'GPE'), ('the Trade Adjustment Assistance', 'ORG')]","Says [PERSON]Ron Johnson[/PERSON] justifies his support of trade agreements by saying the [GPE]U.S.[/GPE] has [ORG]the Trade Adjustment Assistance[/ORG] program for displaced workers, but then he ""voted to eliminate it."
0,Gov. Scott Walker's plan to freeze pay for state employees includes a 5.4 percent raise for himself.,"[(""Scott Walker's"", 'PERSON'), ('5.4 percent', 'PERCENT')]",Gov. [PERSON]Scott Walker's[/PERSON] plan to freeze pay for state employees includes a [PERCENT]5.4 percent[/PERCENT] raise for himself.
1,"Trump just cut the scheduled federal pay raise, stating that he can't do it now because of 'serious economic conditions' in America.","[('America', 'GPE')]","Trump just cut the scheduled federal pay raise, stating that he can't do it now because of 'serious economic conditions' in [GPE]America[/GPE]."
0,"Says Oprah Winfrey's house ""has been seized and they are excavating the property and digging up the tunnels!","[(""Oprah Winfrey's"", 'PERSON')]","Says [PERSON]Oprah Winfrey's[/PERSON] house ""has been seized and they are excavating the property and digging up the tunnels!"
1,"There's still (only) a handful of school districts"" doing no in-person instruction.",[],"There's still (only) a handful of school districts"" doing no in-person instruction."
0,The 9/11 Memorial in NYC was just defaced with graffiti.,"[('The 9/11 Memorial', 'ORG'), ('NYC', 'LOC')]",[ORG]The 9/11 Memorial[/ORG] in [LOC]NYC[/LOC] was just defaced with graffiti.
0,The Democrats in the Senate last year introduced a constitutional amendment to repeal the free speech protections of the First Amendment.,"[('Democrats', 'NORP'), ('Senate', 'ORG'), ('last year', 'DATE'), ('the First Amendment', 'LAW')]",The [NORP]Democrats[/NORP] in the [ORG]Senate[/ORG] [DATE]last year[/DATE] introduced a constitutional amendment to repeal the free speech protections of [LAW]the First Amendment[/LAW].
1,We are last in the nation in startups — 50th.,"[('50th', 'ORDINAL')]",We are last in the nation in startups — [ORDINAL]50th[/ORDINAL].
0,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said ""he didn't believe women belonged in the workplace"" but belonged ""at home, cooking and cleaning and having babies.","[('Glenn Grothman', 'PERSON')]","While fighting a move to toughen penalties for workplace gender discrimination, state Sen. [PERSON]Glenn Grothman[/PERSON] said ""he didn't believe women belonged in the workplace"" but belonged ""at home, cooking and cleaning and having babies."
1,"Says Time magazine called him ""one of America's best governors.","[('Time', 'ORG'), ('one', 'CARDINAL'), ('America', 'GPE')]","Says [ORG]Time[/ORG] magazine called him ""[CARDINAL]one[/CARDINAL] of [GPE]America[/GPE]'s best governors."
1,"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.","[('2010', 'DATE'), ('Government Accountability Office', 'ORG'), ('only 6.5 percent', 'PERCENT'), ('U.S.-Mexico', 'ORG'), ('the Border Patrol', 'ORG')]","In [DATE]2010[/DATE], the non-partisan [ORG]Government Accountability Office[/ORG] found that [PERCENT]only 6.5 percent[/PERCENT] of the [ORG]U.S.-Mexico[/ORG] border was under full control of [ORG]the Border Patrol[/ORG]."
0,Herd immunity has been reached.,[],Herd immunity has been reached.
0,Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh's U.S. Supreme Court confirmation hearing.,"[('Christine Blasey Ford', 'PERSON'), ('Brett Kavanaugh', 'PERSON'), ('Kavanaugh', 'ORG'), ('U.S. Supreme Court', 'ORG')]",[PERSON]Christine Blasey Ford[/PERSON] and [PERSON]Brett Kavanaugh[/PERSON] were actors wearing masks during [ORG]Kavanaugh[/ORG]'s [ORG]U.S. Supreme Court[/ORG] confirmation hearing.
